ID,base product,south dakota,short description,Notes
1,TEST ID: 12279,TEST ID: 12279,·Read Agencies,
2,TEST ID: 12276,TEST ID: 12276,·Create Agencies,
3,TEST ID: 15661,TEST ID: 15661,·Create Annuity Control,
4,TEST ID: 15662,TEST ID: 15662,·Read Annuity Control,
5,TEST ID: 15663,TEST ID: 15663,·Update Annuity Control,
6,TEST ID: 13366,TEST ID: 13366,·Create Lottery Bank Account,
7,TEST ID: 15864,TEST ID: 15864,·Create Payment,
8,TEST ID: 12505,TEST ID: 12505,·Create Player,
9,TEST ID: 12500,TEST ID: 12500,·Read Player Details,
10,TEST ID: 12501,TEST ID: 12501,·Update Player,
11,TEST ID: 19336,TEST ID: 19336,·Create Restricted Players,
12,TEST ID: 19385,TEST ID: 19385,·Read Restricted Players,
13,TEST ID: 19386,TEST ID: 19386,·Update Restricted Players,
14,TEST ID: 19388,TEST ID: 19388,·Delete Restricted Players,
15,TEST ID: 12285,TEST ID: 12285,·Create Setoffs,
16,TEST ID: 12709,TEST ID: 12709,·Read setOffs,
17,TEST ID: 12716,TEST ID: 12716,·Update Setoffs,
18,TEST ID: 12720,TEST ID: 12720,·Delete Setoffs Yes Confirm,
19,TEST ID: 13259,TEST ID: 13259,·Read TaxCategory Details,
20,TEST ID: 13260,TEST ID: 13260,·Update TaxCategory Details,
21,TEST ID: 19035,TEST ID: 19035,·Create Auth Token Policies,
22,TEST ID: 19038,TEST ID: 19038,·Read Token Policies,
23,TEST ID: 19040,TEST ID: 19040,·Update Token Policies,
24,TEST ID: 19044,TEST ID: 19044,·Delete Token Policies,
25,TEST ID: 19161,TEST ID: 19161,·Create Contact,
26,TEST ID: 19161,TEST ID: 19161,·Read Contact,
27,TEST ID: 19167,TEST ID: 19167,·Update Contact,
28,TEST ID: 19169,TEST ID: 19169,·Delete Contact,
29,TEST ID: 18670,TEST ID: 18670,·Create Department,
30,TEST ID: 18672,TEST ID: 18672,·Update Department,
31,TEST ID: 18671,TEST ID: 18671,·Read Department,
32,TEST ID: 18673,TEST ID: 18673,·Delete Department,
33,TEST ID: 19083,TEST ID: 19083,·Create Form Template,
34,TEST ID: 19109,TEST ID: 19109,·Update FormTemplate,
35,TEST ID: 19085,TEST ID: 19085,·Read Form Template,
36,TEST ID: 19148,TEST ID: 19148,·Read Basic Search of Form Template,
37,TEST ID: 19149,TEST ID: 19149,·Read Advance Search of Form Template,
38,TEST ID: 19111,TEST ID: 19111,·Delete Form Template,
39,TEST ID: 19125,TEST ID: 19125,·Copy Existing Form Letter Template,
40,TEST ID: 18724,TEST ID: 18724,·Create Group,
41,TEST ID: 18726,TEST ID: 18726,·Update Group,
42,TEST ID: 18725,TEST ID: 18725,·Read Group,
43,TEST ID: 19434,TEST ID: 19434,·Copy Group,
44,TEST ID: 18727,TEST ID: 18727,·Delete groups,
45,TEST ID: 18649,TEST ID: 18649,·Create Office,
46,TEST ID: 18651,TEST ID: 18651,·Update Office,
47,TEST ID: 18650,TEST ID: 18650,·Read Offices,
48,TEST ID: 18652,TEST ID: 18652,·Delete Office,
49,TEST ID: 18630,TEST ID: 18630,·Create Organizations,
50,TEST ID: 18632,TEST ID: 18632,·Update Organizations,
51,TEST ID: 18631,TEST ID: 18631,·Read Organizations,
52,TEST ID: 18633,TEST ID: 18633,·Delete Organization,
53,TEST ID: 18915,TEST ID: 18915,·Create Password Policies,
54,TEST ID: 18916,TEST ID: 18916,·Read Password Policies,
55,TEST ID: 18917,TEST ID: 18917,·Update Password Policies,
56,TEST ID: 18918,TEST ID: 18918,·Delete Password Policies,
57,TEST ID: 18924,TEST ID: 18924,·Create Password Rules,
58,TEST ID: 18926,TEST ID: 18926,·Read Password Rule,
59,TEST ID: 18927,TEST ID: 18927,·Update Password Rule,
60,TEST ID: 18928,TEST ID: 18928,·Delete Password Rule,
61,TEST ID: 19033,TEST ID: 19033,·Create Properties,
62,TEST ID: 19036,TEST ID: 19036,·Update Properties,
63,TEST ID: 19037,TEST ID: 19037,·Delete Properties,
64,TEST ID: 19188,TEST ID: 19188,·Create Representatives,
65,TEST ID: 19190,TEST ID: 19190,·Update Representatives,
66,TEST ID: 19189,TEST ID: 19189,·Read Representatives,
67,TEST ID: 19191,TEST ID: 19191,·Delete Representatives,
68,TEST ID: 18856,TEST ID: 18856,·Create Roles,
69,TEST ID: 18858,TEST ID: 18858,·Update Roles,
70,TEST ID: 18857,TEST ID: 18857,·Delete Roles,
71,TEST ID: 20156,TEST ID: 20156,·Read Security Events Basic Search,
72,TEST ID: 20157,TEST ID: 20157,·Read Security Events Advanced Search,
73,TEST ID: 19074,TEST ID: 19074,·Create Typecodes,
